Id;Label;Greek;Nature;Longitude;Latitude;Source;Target;Port-commodity;Source-a;Target-a;Type;port-port;;;Source-b;Target-b;Port-commodity group;Source-d;Target-d;Commodity groups;Id;Label
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1010;Muza;;;43.16;13.18;2001;1010;;;;;;Un¿yaktig posisjon;;2001;1010;;;;;;
;;;;;;2002;1010;;;;;;;;2002;1010;;;;;;
;;;;;;2024;1010;;;;;;;;2111;1010;;;;;;
;;;;;;2025;1010;;;;;;;;2114;1010;;;;;;
;;;;;;2034;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2035;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2039;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2039;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2040;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2040;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2041;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2041;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2042;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2042;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2043;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2043;1010;;;;;;;;2121;1010;;;;;;
;;;;;;2044;1010;;;;;;;;2044;1010;;;;;;
;;;;;;2044;1010;;;;;;;;2044;1010;;;;;;
;;;;;;2047;1010;;;;;;ironware?;;2123;1010;;;;;;
;;;;;;1010;2008;;;;;;;;1010;2131;;;;;;
;;;;;;1010;2013;;;;;;;;1010;2117;;;;;;
;;;;;;1010;2015;;;;;;;;1010;2117;;;;;;
;;;;;;1010;2030;;;;;;;;1010;2030;;;;;;
;;;;;;1010;2032;;;;;;;;1010;2032;;;;;;
;;;;;;1010;2053;;;;;;;;1010;2117;;;;;;
;;;;;;2006;1010;;;;;;;;2111;1010;;;;;;
;;;;;;1010;2002;;;;;;;;1010;2002;;;;;;
;;;;;;1010;2001;;;;;;;;1010;2001;;;;;;
;;;;;;1010;2028;;;;;;;;1010;2028;;;;;;
;;;;;;2059;1010;;;;;;;;2113;1010;;;;;;
;;;;;;2060;1010;;;;;;;;2111;1010;;;;;;
;;;;;;2061;1010;;;;;;;;2128;1010;;;;;;
;;;;;;2062;1010;;;;;;;;2128;1010;;;;;;
;;;;;;2063;1010;;;;;;;;2113;1010;;;;;;
;;;;;;2005;1010;;;;;;;;2111;1010;;;;;;
;;;;;;2064;1010;;;;;;;;2111;1010;;;;;;
;;;;;;2065;1010;;;;;;;;2128;1010;;;;;;
;;;;;;2030;1010;;;;;;;;2030;1010;;;;;;
;;;;;;2032;1010;;;;;;;;2032;1010;;;;;;
;;;;;;2017;1010;;;;;;;;2127;1010;;;;;;
;;;;;;2066;1010;;;;;;;;2129;1010;;;;;;
;;;;;;2067;1010;;;;;;;;2129;1010;;;;;;
;;;;;;2018;1010;;;;;;;;2119;1010;;;;;;
;;;;;;2019;1010;;;;;;;;2119;1010;;;;;;
;;;;;;2068;1010;;;;;;;;2111;1010;;;;;;
